I0317 11:11:04.055837    1186 nixl_log.cpp:80] NIXL version: 1.0.0 (git: 4071a532)
2026-03-17 11:11:04 NIXL INFO    logging.py:82 Log level set to TRACE from NIXL_LOG_LEVEL environment variable
I0317 11:11:04.059318    1186 nixl_agent.cpp:119] NIXL ETCD is disabled
I0317 11:11:04.059325    1186 configuration.h:47] Missing environment variable NIXL_TELEMETRY_ENABLE
I0317 11:11:04.059355    1186 metadata_stream.cpp:95] MD listener is listening on port 5555...
I0317 11:11:04.059413    1186 configuration.h:44] Obtained environment variable NIXL_PLUGIN_DIR=/usr/local/lib/x86_64-linux-gnu/plugins
I0317 11:11:04.059417    1186 nixl_plugin_manager.cpp:303] Loading plugins from: /usr/local/lib/x86_64-linux-gnu/plugins
I0317 11:11:04.061383    1186 nixl_plugin_manager.cpp:245] Failed to load plugin from /usr/local/lib/x86_64-linux-gnu/plugins/libplugin_UCX.so: /usr/local/lib/x86_64-linux-gnu/plugins/libplugin_UCX.so: undefined symbol: _ZN4nixl6hwInfo8instanceEv
I0317 11:11:04.061392    1186 nixl_plugin_manager.cpp:398] Failed to load plugin 'UCX' from any directory
I0317 11:11:04.067104    1186 nixl_plugin_manager.cpp:460] Discovered and loaded backend plugin: POSIX
I0317 11:11:04.081872    1186 nixl_plugin_manager.cpp:460] Discovered and loaded backend plugin: LIBFABRIC
I0317 11:11:04.083485    1186 nixl_plugin_manager.cpp:472] Discovered and loaded telemetry plugin: prometheus
I0317 11:11:04.086261    1186 nixl_plugin_manager.cpp:245] Failed to load plugin from /usr/local/lib/x86_64-linux-gnu/plugins/libplugin_MOCK_BACKEND.so: libplugin_UCX.so: cannot open shared object file: No such file or directory
I0317 11:11:04.086266    1186 nixl_plugin_manager.cpp:398] Failed to load plugin 'MOCK_BACKEND' from any directory
I0317 11:11:04.086277    1186 nixl_plugin_manager.cpp:614] Loading static plugin: BUFFER
I0317 11:11:04.086313    1186 libfabric_rail_manager_hip.cpp:199] Creating rail manager with striping threshold: 131072 bytes
I0317 11:11:04.086343    1186 libfabric_topology_hip.cpp:53] Starting automatic topology discovery
I0317 11:11:04.086346    1186 libfabric_topology_hip.cpp:72] Starting hwloc-based topology discovery
I0317 11:11:04.502083    1186 libfabric_topology_hip.cpp:358] hwloc topology initialized successfully with IO device support
I0317 11:11:05.018461    1186 libfabric_common.cpp:81] Found device - domain: ens22np0, provider=tcp, ep_type=3, caps=0x11a000000013f06
I0317 11:11:05.018514    1186 libfabric_common.cpp:81] Found device - domain: ens12np0, provider=tcp, ep_type=3, caps=0x11a000000013f06
I0317 11:11:05.018519    1186 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=tcp, ep_type=3, caps=0x11a000000013f06
I0317 11:11:05.018521    1186 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=tcp, ep_type=3, caps=0x11a000000013f06
I0317 11:11:05.018523    1186 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=tcp, ep_type=3, caps=0x11a000000013f06
I0317 11:11:05.018525    1186 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=tcp, ep_type=3, caps=0x11a000000013f06
I0317 11:11:05.018526    1186 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=tcp, ep_type=3, caps=0x11a000000013f06
I0317 11:11:05.018527    1186 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=tcp, ep_type=3, caps=0x11a000000013f06
I0317 11:11:05.018529    1186 libfabric_common.cpp:81] Found device - domain: ens22np0, provider=tcp, ep_type=3, caps=0x11a000000013f06
I0317 11:11:05.018531    1186 libfabric_common.cpp:81] Found device - domain: ens12np0, provider=tcp, ep_type=3, caps=0x11a000000013f06
I0317 11:11:05.018532    1186 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=tcp, ep_type=3, caps=0x11a000000013f06
I0317 11:11:05.018533    1186 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=tcp, ep_type=3, caps=0x11a000000013f06
I0317 11:11:05.018534    1186 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=tcp, ep_type=3, caps=0x11a000000013f06
I0317 11:11:05.018536    1186 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=tcp, ep_type=3, caps=0x11a000000013f06
I0317 11:11:05.018537    1186 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=tcp, ep_type=3, caps=0x11a000000013f06
I0317 11:11:05.018538    1186 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=tcp, ep_type=3, caps=0x11a000000013f06
