I0317 10:52:36.311955     893 nixl_log.cpp:80] NIXL version: 1.0.0 (git: 4071a532)
2026-03-17 10:52:36 NIXL INFO    logging.py:82 Log level set to TRACE from NIXL_LOG_LEVEL environment variable
I0317 10:52:36.315952     893 nixl_agent.cpp:119] NIXL ETCD is disabled
I0317 10:52:36.315961     893 configuration.h:47] Missing environment variable NIXL_TELEMETRY_ENABLE
I0317 10:52:36.315981     893 metadata_stream.cpp:95] MD listener is listening on port 5555...
I0317 10:52:36.316028     893 configuration.h:44] Obtained environment variable NIXL_PLUGIN_DIR=/usr/local/lib/x86_64-linux-gnu/plugins
I0317 10:52:36.316031     893 nixl_plugin_manager.cpp:303] Loading plugins from: /usr/local/lib/x86_64-linux-gnu/plugins
I0317 10:52:36.317585     893 nixl_plugin_manager.cpp:245] Failed to load plugin from /usr/local/lib/x86_64-linux-gnu/plugins/libplugin_UCX.so: /usr/local/lib/x86_64-linux-gnu/plugins/libplugin_UCX.so: undefined symbol: _ZN4nixl6hwInfo8instanceEv
I0317 10:52:36.317592     893 nixl_plugin_manager.cpp:398] Failed to load plugin 'UCX' from any directory
I0317 10:52:36.324228     893 nixl_plugin_manager.cpp:460] Discovered and loaded backend plugin: POSIX
I0317 10:52:36.338910     893 nixl_plugin_manager.cpp:460] Discovered and loaded backend plugin: LIBFABRIC
I0317 10:52:36.340241     893 nixl_plugin_manager.cpp:472] Discovered and loaded telemetry plugin: prometheus
I0317 10:52:36.342979     893 nixl_plugin_manager.cpp:245] Failed to load plugin from /usr/local/lib/x86_64-linux-gnu/plugins/libplugin_MOCK_BACKEND.so: libplugin_UCX.so: cannot open shared object file: No such file or directory
I0317 10:52:36.342984     893 nixl_plugin_manager.cpp:398] Failed to load plugin 'MOCK_BACKEND' from any directory
I0317 10:52:36.342992     893 nixl_plugin_manager.cpp:614] Loading static plugin: BUFFER
I0317 10:52:36.343031     893 libfabric_rail_manager_hip.cpp:199] Creating rail manager with striping threshold: 131072 bytes
I0317 10:52:36.343050     893 libfabric_topology_hip.cpp:53] Starting automatic topology discovery
I0317 10:52:36.343052     893 libfabric_topology_hip.cpp:72] Starting hwloc-based topology discovery
I0317 10:52:36.814246     893 libfabric_topology_hip.cpp:365] hwloc topology initialized successfully with IO device support
I0317 10:52:37.326017     893 libfabric_common.cpp:81] Found device - domain: ens22np0, provider=tcp, ep_type=3, caps=0x11a000000013f06
I0317 10:52:37.326106     893 libfabric_common.cpp:81] Found device - domain: ens12np0, provider=tcp, ep_type=3, caps=0x11a000000013f06
I0317 10:52:37.326111     893 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=tcp, ep_type=3, caps=0x11a000000013f06
I0317 10:52:37.326113     893 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=tcp, ep_type=3, caps=0x11a000000013f06
